CID_____	CRPName___	Party	DistIDRunFor	FECCandID
N00012233	Latta, Robert E	R	OH05	H8OH05036
N00029470	Lauten, Robert	R	CAS2	S2CA00690
N00000659	Lautenberg, Frank R	D	NJS2	S2NJ00080
N00034068	Lawrence, Brenda	D	MI14	H2MI14111
N00006311	Lawrence, Dub	R	UTS1	S2UT00252
N00033024	Lawrence, William Clarence	R	TX12	H2TX00098
N00030642	Lawson, Alfred Jr	D	FL02	H0FL02086
N00033364	Lawson, Stacey	D	CA02	H2CA02100
N00009918	Leahy, Patrick	D	VTS2	S4VT00017
N00034662	Lebarre, Mike	R	CA20	H2CA20110
N00034145	Lee, Al	R	TX33	H2TX33115
N00008046	Lee, Barbara	D	CA13	H8CA09060
N00031023	Lee, Chad	R	WI02	H0WI02060
N00033496	Lee, John	D	NV01	H2NV00043
N00034432	Lee, Ken	D	PA04	H2PA04184
N00031696	Lee, Mike	R	UTS2	S0UT00165
N00034309	Lee, Otto	D	CA22	H2CA22140
N00024883	Lee, Robert	I	VAS1	S2VA00134
N00029403	Leeds, Robert X	R	NV04	H8NV00065
N00034508	Lefavour, Nicole	D	ID02	H2ID02133
N00033405	Lehmann, Helmuth	I	NV02	H2NV02445
N00034285	Lehner, Dale	I	WI07	H2WI07073
N00032496	Leinweber, Joe Jr	R	TN02	H2TN02096
N00031304	Lemieux, George S	R	FLS1	S2FL00227
N00033783	Lenard, Brenda Shivon	R	TNS1	S2TN00231
N00033371	Leonard, Harrison	R	CA25	H2CA25135
N00034417	Leonczyk, Ken	R	NC09	H2NC09142
N00033087	Leppert, Thomas C	R	TXS2	S2TX00338
N00033793	Lervold, John	R	AZ02	H2AZ02253
N00034592	Leslie, Michael	D	NVS1	S2NV00241
N00034125	Lessmann, Hans F	R	PA14	H2PA14084
N00034288	Lester, Bill	R	WV03	H2WV03074
N00034047	Letke, Kim	D	MD01	H2MD01162
N00033649	Lettin, Robert E	D	OR01	H2OR01166
N00034024	Levene, Allan	R	GA11	H2GA11180
N00001691	Levin, Carl	D	MIS1	S8MI00158
N00003950	Levin, Sander	D	MI09	H2MI17023
N00034186	Levitt, David Alex	D	CAS2	S2CA00708
N00034486	Lewallen, John	I	CA02	H2CA02175
N00033223	Lewis, Dan	R	NM01	H2NM01094
N00034109	Lewis, David	R	OH08	H2OH08074
N00007087	Lewis, Jerry	R	CA31	H8CA37079
N00002577	Lewis, John	D	GA05	H6GA05217
N00003796	Leyva, Mark J	R	IN01	H8IN01096
N00034491	Li, Evelyn	R	CA17	H2CA17090
N00031464	Liberatore, Philip Laurence	R	CA08	H0CA42175
N00000616	Lieberman, Joe	I	CTS1	S8CT00022
N00034970	Life, Pro	I	ID01	H2ID01150
N00031645	Liggett, Hombre	R	OH07	H0OH18085
N00008132	Lightfoot, Gail	L	CAS2	S8CA00283
N00034023	Lightfoot, Gary Neil	R	GA07	H2GA07071
N00033428	Liias, Marko	D	WA01	H2WA01161
N00033738	Liles, Jay	D	FL02	H2FL02108
N00034216	Liljenquist, Dan	R	UTS1	S2UT00195
N00033401	Lindstrom, Brett	R	NE02	H2NE02041
N00031657	Lingenfelder, John Jr	D	TX03	H0TX03088
N00034530	Lingenfelter, Bob	R	NE03	H2NE03049
N00033707	Lingle, Linda	R	HIS2	S2HI00114
N00033262	Linker, Ian S	R	NJS1	S2NJ00338
N00031880	Linnell, Terri Ruth	R	CA50	H0CA52034
N00027239	Lipinski, Daniel	D	IL03	H4IL03077
N00033113	Lippold, Kirk	R	NV02	H2NV02239
N00032354	Litt, Douglas Alan	D	OH12	H0OH04069
N00032322	Little, Anna	R	NJ06	H0NJ06164
N00034060	Little, Ron	D	MD06	H2MD06211
N00034773	Llop, William	R	GA11	H2GA11198
N00000851	LoBiondo, Frank A	R	NJ02	H2NJ02037
N00033894	Lockwood, Dave	D	MD03	H2MD03135
N00033608	Lodato, Raymond M	D	IL01	H2IL01158
N00034700	Lodes, Mark	R	MOS2	S2MO00445
N00027741	Loebsack, David	D	IA02	H6IA02146
N00007479	Lofgren, Zoe	D	CA19	H4CA16049
N00034488	Loftin, Randy	R	CA05	H2CA05095
N00030676	Long, Billy	R	MO07	H0MO07113
N00034102	Long, Chris	R	OH03	H2OH03141
N00033441	Long, Deon	R	FLS1	S2FL00284
N00034950	Long, Lionel	I	FLS1	S2FL00391
N00034832	Long, Michel Joseph	I	TNS1	S2TN00330
N00028925	Long, Todd	R	FL09	H6FL08247
N00033393	Long, Tony	D	IN05	H2IN05074
N00034365	Long, Wendy	R	NYS1	S2NY00259
N00034156	Longo, Dean	R	VA03	H2VA03054
N00032687	Longrie, Diana	D	MN04	H0MN04155
N00030069	Lopez, Delia	R	OR03	H8OR03045
N00034056	Loudon, Faith	R	MD04	H2MD04273
N00030750	Loughlin, John	R	RI01	H0RI01065
N00033842	Love, Mia	R	UT04	H2UT04023
N00033274	Lowenthal, Alan	D	CA47	H2CA00104
N00001024	Lowey, Nita M	D	NY17	H8NY20056
N00005559	Lucas, Frank D	R	OK03	H4OK06056
N00034597	Lucia, George Campbell	R	WIS1	S2WI00276
N00030026	Luetkemeyer, Blaine	R	MO03	H8MO09153
N00033887	Lugar, Jack	R	IN05	H2IN05108
N00001764	Lugar, Richard G	R	INS1	S4IN00014
N00029562	Lujan, Ben R	D	NM03	H8NM03196
N00034900	Lukens, Charles	I	NJ02	H2NJ02151
N00033705	Lumaj, Peter	R	CTS1	S2CT00173
N00029788	Lummis, Cynthia Marie	R	WY01	H8WY00148
N00003245	Lunati, Earnest	R	TN09	H6TN09092
N00003245	Lunati, Earnest	R	TN09	H8TN09056
N00034005	Lundberg, Kevin	R	CO02	H2CO02148
N00011971	Lungren, Dan	R	CA07	H6CA34112
N00031600	Lurie, Barak	R	CA45	H0CA46051
N00034205	Lustgarten, Steven	D	NES1	S2NE00102
N00033494	Lynch, Courtney	D	VAS1	S2VA00183
N00034418	Lynch, Richard	R	NC09	H2NC09159
N00013855	Lynch, Stephen F	D	MA08	H2MA09072
N00013865	Lynch, William Charles	D	FL01	S0FL00387
N00033860	Lyon, John	R	AZS2	S2AZ00240
N00034477	MacGovern, John	R	VTS1	S2VT00136
N00034593	Macias, Louis	D	NVS1	S2NV00258
N00033374	Macias, Norma	D	CA32	H2CA32206
N00026425	Mack, Connie	R	FLS1	S2FL00334
N00026425	Mack, Connie	R	FLS1	S2FL00334
N00034236	Mack, Richard	R	TX21	H2TX21078
N00034094	Mack, Sean	D	NJ11	H2NJ11103
N00030558	Macko, David	L	OH14	H8OH14103
N00033910	Mader, James Lawrence	R	SC07	H2SC07090
N00034800	Madigan, Mike	R	NY26	H2NY26171
N00027891	Maffei, Dan	D	NY24	H6NY25125
N00034626	Magdich, Michael	D	MI08	H2MI08113
N00025371	Maggi, Larry	D	PA18	H2PA18150
N00033173	Maher, Jonathan	3	NJS1	S2NJ00346
N00034721	Mahn, Todd	D	MO08	H2MO08067
N00034666	Mailyan, Garen	R	CA28	H2CA28147
N00034575	Malagisi, Michael P	R	NC03	H4NC03034
N00033039	Maldonado, Abel	R	CA24	H2CA23106
N00032144	Maldonado, Hector	R	MOS2	S0MO00266
N00034859	Malik, Shahid	R	GA13	H2GA13053
N00034423	Malone, Charles	D	NC13	H2NC13144
N00000078	Maloney, Carolyn B	D	NY12	H2NY14037
N00033058	Maloney, Eric	R	PA04	H2PA19091
N00034203	Maloney, Robert	R	MSS2	S2MS00116
N00034277	Maloney, Sean Patrick	D	NY18	H2NY22139
N00032838	Manchin, Joe	D	WVS1	S0WV00090
N00033174	Mandel, Josh	R	OHS1	S2OH00170
N00034466	Mangelli, John	I	NYS1	S2NY00275
N00034381	Manolakis, Charlie	3	AZ02	H2AZ08128
N00033872	Mansfield, Robert Allen	R	PA02	H2PA02139
N00034139	Mansius, Mark	R	TX14	H2TX14164
N00004905	Manzullo, Don	R	IL16	H0IL16085
N00032744	Maragos, George	R	NYS1	S0NY00600
N00026710	Marchant, Kenny	R	TX24	H4TX24094
N00034066	Marcin, Daniel	D	MI12	H2MI12149
N00034555	Marcoccio, Robert	I	PA04	H2PA04200
N00031955	Marcy, Bill	R	MS02	H0MS02066
N00034614	Margolin, Bruce	D	CA33	H2CA33162
N00034880	Marin, Gustavo	D	FL26	H2FL26040
N00033709	Marino, Chuck	R	MIS2	S2MI00227
N00031777	Marino, Tom	R	PA10	H0PA10078
N00000270	Markey, Edward J	D	MA05	H6MA07101
N00034854	Marquez, Ruben	D	MI07	H2MI07107
N00034920	Marra, Fred	I	FL07	H2FL07131
N00029834	Marshall, Bob	R	VAS1	S8VA00263
N00033114	Marshall, Kate	D	NV02	H2NV02247
N00034790	Marthone, Joseph R	D	NY05	H2NY05092
N00030940	Martin, Ed	R	MO02	H0MO03112
N00034279	Martin, Eric	R	PA04	H2PA04150
N00034708	Martin, Gaither	R	AZ01	H2AZ01305
N00034142	Martin, Max	D	TX36	H2TX22118
N00034691	Martin, Pat	3	OK05	H2OK05144
N00032480	Martinez, George	D	NY07	H0NY12159
N00030133	Marvin, Larry	D	NES1	S8NE00141
N00033606	Marx, Bob	D	HI02	H2HI02516
N00033079	Massie, Bob	D	MAS1	S2MA00113
N00034041	Massie, Thomas	R	KY04	H2KY04121
N00032380	Mastromatteo, Elaine	3	OH14	H0OH17186
N00009753	Matheson, Jim	D	UT04	H0UT02096
N00034234	Mathis, Keith Edmond	R	OR02	H2OR02131
N00027459	Matsui, Doris O	D	CA06	H6CA05195
N00033421	Matthews, Brian	R	TX25	H2TX25228
N00034452	Matthews, Dan	R	WA02	H2WA02177
N00034954	Mavy, Emmett	R	WYS1	S2WY00125
N00031003	May, Carlos Andrew	R	IN07	H0IN07157
N00033870	May, Vincent E	3	CAS2	S2CA00674
N00034686	Mayer, Eric C	D	MO03	H2MO03134
N00034474	Mayerhofer, Edward	R	UT02	H2UT02373
N00034133	Mayfield, Scottie	R	TN03	H2TN03151
N00034442	McAleer, Donna	D	UT01	H2UT01235
N00006424	McCain, John	R	PRES	S6AZ00019
N00006424	McCain, John	R	AZS1	S6AZ00019
N00033077	McCalister, Mike	R	FLS1	S2FL00201
N00034287	McCann, William	D	WV02	H2WV02142
N00001148	McCarthy, Carolyn	D	NY04	H6NY04112
N00028152	McCarthy, Kevin	R	CA23	H2CA23148
N00028152	McCarthy, Kevin	R	CA23	H2CA23148
N00027694	McCaskill, Claire	D	MOS2	S6MO00305
N00026460	McCaul, Michael	R	TX10	H4TX10093
N00034468	McCausland, Shaun	3	UTS1	S2UT00245
N00006863	McClintock, Tom	R	CA04	H8CA04152
N00012942	McCollum, Betty	D	MN04	H0MN04049
N00034609	McComak, Troy Wayne	I	CA10	H2CA10160
N00034586	McConnell, Jerry	L	MTS1	S2MT00120
N00003389	McConnell, Mitch	R	KYS1	S2KY00012
N00033088	McCormick, David M	R	VAS1	S2VA00126
N00013808	McCotter, Thaddeus G	R	MI11	H2MI00037
N00013808	McCotter, Thaddeus G	R	MI11	H2MI00037
N00033706	McCoy, Jason L	R	CTS1	S2CT00199
N00034384	McCray, Joseph Sr	R	CA06	H2CA06291
N00033442	McCulloch, John P	R	MIS2	S2MI00201
N00033535	McCune, Bill	D	TX12	H2TX12077
N00026605	McDermott, George E	D	MD04	H4MD04071
N00009829	McDermott, Jim	D	WA07	H8WA07132
N00034908	McDermott, Jim	L	AK01	H2AK00143
N00033571	McDonald, John	R	CA09	H2CA09105
N00034225	McDonald, Michael	R	CT01	H2CT01155
N00033477	McDonald, Michael Perez	D	TX18	H2TX18124
N00034566	McDonald, Ronnie	D	TX27	H2TX27216
N00032587	McDowell, Gary J	D	MI01	H0MI01153
N00034399	McDuffie, Clifton	R	GA09	H2GA09184
N00033584	McEachron, Ryan	R	CA08	H2CA08131
N00034443	McElhaney, Jeramey	R	UT02	H2UT02365
N00033922	McGehearty, Patrick	D	TX24	H2TX24114
N00034209	McGinnis, Mark A	D	OHS1	S2OH00220
N00029024	McGoff, John P	R	IN05	H8IN05097
N00034520	McGoldrick, Brian	D	MN06	H2MN06180
N00000179	McGovern, James P	D	MA02	H4MA03022
N00034567	McGovern, Katherine	D	TX32	H2TX32067
N00034532	McGowan, Terrence	R	NJ04	H2NJ04173
N00026627	McHenry, Patrick	R	NC10	H4NC10047
N00003878	McIntosh, David M	R	IN05	H4IN02051
N00002356	McIntyre, Mike	D	NC07	H8NC07044
N00033259	McKee, Douglas	R	AZS2	S2AZ00174
N00033834	McKellar, Shirley	D	TX01	H2TX01062
N00033102	McKenzie, Robert A	D	IL10	H2IL10076
N00006882	McKeon, Buck	R	CA25	H2CA25036
N00031681	McKinley, David	R	WV01	H0WV01072
N00030053	McKinnon, Frank	D	NM02	H8NM02107
N00034779	McLaughlin, Joseph	R	NY16	H2NY16057
N00033605	McLeod, Daniel Wright	R	GA12	H2GA12113
N00033509	McLeod, Gloria	D	CA35	H2CA35118
N00031165	McMahon, Linda	R	CTS1	S0CT00151
N00032431	McMasters, Tom	D	OH10	H0OH08110
N00034507	McMcandless, Reed	R	ID01	H2ID01143
N00034856	McMillan, Jaime	I	CO03	H2CO03179
N00026314	McMorris Rodgers, Cathy	R	WA05	H4WA05077
N00020612	McNeil, Ron	R	FLS1	S2FL00318
N00026926	McNerney, Jerry	D	CA09	H4CA11081
N00033982	McSally, Martha	R	AZ02	H2AZ08102
N00033631	Meadows, Mark R	R	NC11	H2NC11080
N00031134	Meehan, Patrick	R	PA07	H0PA07082
N00033593	Meek, Christopher D	R	CT04	H2CT04043
N00001171	Meeks, Gregory W	D	NY05	H8NY06048
N00034021	Melendez, Julius Anthony	R	FL09	H2FL27022
N00034525	Melkus, Vincent	R	MT01	H2MT00104
N00031175	Memoly, Mark	R	MOS2	S0MO00209
N00027936	Mendoza, Ben	D	TX16	H6TX16111
N00000699	Menendez, Robert	D	NJS1	S6NJ00289
N00000699	Menendez, Robert	D	NJS1	S6NJ00289
N00034547	Meng, Grace	D	NY06	H2NY06116
N00013103	Menze, Glenn	3	MNS2	S2MN00282
N00034129	Mercado Nieves, Juan Manuel	3	PR00	H2PR00073
N00033037	Mercer, Gabriela Saucedo	R	AZ03	H2AZ07146
N00029303	Merkley, Jeff	D	ORS1	S8OR00207
N00012546	Messer, Luke	R	IN06	H0IN02125
N00034840	Messinger, Lesli	D	GA01	H2GA01231
N00034036	Metzger, Frank	R	IL13	H2IL13104
N00033005	Meyer, Chuck	R	TX36	H0TX18235
N00033966	Meyer, Michael F	I	AZS2	S2AZ00257
N00002793	Mica, John L	R	FL07	H2FL08055
N00034037	Michael, Angela	D	IL15	H2IL15083
N00027885	Michaels, Barry	D	NV03	H6NV03014
N00033653	Michaels, Lisa	R	OR01	H2OR01208
N00024770	Michaud, Mike	D	ME02	H2ME02097
N00033974	Mickle, Al	R	AL06	H2AL06134
N00034143	Middlebrook, Don Al	R	TX27	H2TX27174
N00007835	Mike, the Mover	R	WAS1	S4WA00425
N00033381	Miklosi, Joe	D	CO06	H2CO06123
N00001945	Mikulski, Barbara A	D	MDS2	S6MD00140
N00025093	Miller, Brad	D	NC04	H2NC13029
N00009795	Miller, Candice S	R	MI10	H6MI12181
N00033747	Miller, Chris	D	IL12	H2IL12106
N00031735	Miller, Craig S	R	FL06	H0FL24148
N00031493	Miller, Darrel	R	IL18	H0IL11086
N00032412	Miller, David	R	CA32	H0CA26087
N00013859	Miller, Floyd	I	FL02	H2FL02132
N00006954	Miller, Gary	R	CA31	H8CA41063
N00007390	Miller, George	D	CA11	H6CA07043
N00013846	Miller, Jeff	R	FL01	H2FL01100
N00033346	Miller, Jeffrey	R	CA41	H2CA00112
N00034369	Miller, John Griffin	D	IN09	H2IN09175
N00033267	Miller, Jonathan	R	WV02	H2WV02126
N00034743	Miller, William E, Jr	D	TX10	H2TX10121
N00033888	Miniear, J D	R	IN07	H2IN07096
N00032672	Mirabile, Frank Jr	R	MD07	H0MD07072
N00013416	Mitchel, John	R	OH10	H0OH07070
N00033928	Mitchell, Monte Mark	R	TX33	H2TX33099
N00033368	Mitchum, Christopher	R	CA24	H2CA23114
N00034791	Mittman, Robert	D	NY06	H2NY06140
N00033989	Mitzelfelt, Brad	R	CA08	H2CA08156
N00034220	Modglin, Terrence	I	VAS1	S2VA00209
N00029448	Modica, Julien	D	VAS1	S8VA00230
N00031213	Moise, Rudolph	D	FL24	H0FL17118
N00034698	Molina, J R	D	TX33	H2TX33198
N00033587	Molina, Laura	D	CA25	H2CA25150
N00002214	Mollohan, Alan B	D	WV01	H2WV01029
N00034891	Molnar, Vernon	R	MI08	H2MI08121
N00034719	Monchil, Russ Lee	L	MO06	H2MO06228
N00034462	Mondesir, Eno	D	MAS1	S2MA00188
N00025162	Monk, Elden	I	TX02	H2TX08059
N00032622	Monroe, Robert	I	FLS1	S0FL00577
N00033207	Montano, Maria E	3	CA36	H2CA36355
N00034502	Montigel, Robert G	D	GA06	H2GA06107
N00033755	Montoya, Gary	R	NM03	H2NM03124
N00029560	Montoya, Harry	D	NM03	H8NM03170
N00034819	Moody, Ian	I	WA05	H2WA05089
N00031236	Moon, Michael	R	MO07	H0MO07147
N00033814	Mooney, Alex	R	MD06	H2MD06179
N00034040	Moore, Gary	R	KY04	H2KY04113
N00026914	Moore, Gwen	D	WI04	H4WI04183
N00033313	Moore, Jimmie	D	PA01	H2PA01073
N00034039	Moore, Lester Terry	D	IN04	H2IN04127
N00034707	Moore, Matthew Edward	D	AK01	H2AK00101
N00033570	Moore, William E	D	CA04	H2CA04106
N00005282	Moran, Jerry	R	KSS2	S0KS00091
N00002083	Moran, Jim	D	VA08	H0VA08040
N00033025	Morenoff, Dan	R	TX30	H2TX00106
N00033652	Morgan, Delinda	R	OR01	H2OR01190
N00034473	Morgan, Richard	R	TX21	H2TX21094
N00033732	Morgan, Spencer	D	AZ05	H2AZ05140
N00030947	Morgan, Vincent	D	NY13	H0NY15103
N00032898	Morgan, Vivia	3	NY09	H2NY09128
N00033840	Morrell, Kim	R	TX36	H2TX36068
N00033899	Morris, Antoinette Toni	D	NC02	H2NC00018
N00034071	Morris, Brad	D	MS01	H2MS01098
N00005104	Morris, Patrick J	R	MO02	H4MO05135
N00034367	Morrison, Dan	D	IN02	H2IN02238
N00032036	Morrison, DC	D	AR04	H2AR04125
N00034857	Morrison, Ruth	D	WA01	H2WA01203
N00034645	Morrow, Deb	D	SC04	H2SC04105
N00034059	Morton, Glenn	R	MD05	H2MD05494
N00034083	Motsinger, Elisabeth	D	NC05	H2NC05132
N00034322	Mount, Matt	R	IN05	H2IN05132
N00003900	Mourdock, Richard E	R	INS1	S2IN00083
N00034788	Mourino, Paul	R	NY02	H2NY02107
N00034713	Mowinski, Bernie	R	MO04	H2MO04090
N00034692	Mrosko, Linda	D	TX05	H2TX05204
N00031662	Mueller, Steve	R	TX09	H0TX09143
N00034615	Mulattieri, D'Marie	I	CA39	H2CA39144
N00033392	Mullen, Brendan	D	IN02	H2IN02204
N00033410	Mullin, Markwayne	R	OK02	H2OK02083
N00029007	Mullins, Grover Cleveland Jr	D	TNS1	S2TN00249
N00031412	Mulvaney, Mick	R	SC05	H0SC05031
N00034082	Munno, Clem	R	NC02	H2NC02162
N00034665	Munroe, Massie	D	CA28	H2CA28139
N00033212	Munzing, Mike	R	CA39	H2CA48079
N00031155	Muri, Dick	R	WA10	H0WA09044
N00026050	Murkowski, Lisa	R	AKS2	S4AK00099
N00033056	Murphy, Brianne-Elise	D	NY24	H2NY25066
N00027566	Murphy, Christopher S	D	CTS1	S2CT00132
N00027566	Murphy, Christopher S	D	CTS1	S2CT00132
N00033116	Murphy, Ian	3	NY26	H2NY26155
N00034542	Murphy, Jim	I	NV03	H2NV03138
N00028402	Murphy, John	I	PA16	H6PA16288
N00034232	Murphy, Mark	D	NY11	H2NY13088
N00033091	Murphy, Patrick	D	FL18	H2FL22072
N00034777	Murphy, Richard	R	CO01	H2CO01132
N00026339	Murphy, Rick	R	AZ04	H4AZ02093
N00005531	Murphy, Robert T	L	OK05	H6OK04098
N00033032	Murphy, Rome II	D	NJS1	S2NJ00320
N00024992	Murphy, Tim	R	PA18	H2PA18143
N00033469	Murphy, Timothy	D	NC10	H2NC10082
N00034833	Murray, James	3	NY07	H2NY07056
N00031556	Murray, Patrick	R	VA08	H0VA08149
N00007876	Murray, Patty	D	WAS2	S2WA00189
N00034492	Murray, Robert	R	CA19	H2CA19112
N00034117	Murray, Tim	D	OK03	H2OK03081
N00034193	Muse, C Anthony	D	MDS1	S2MD00420
N00031843	Myers, John Jay	L	TXS2	S2TX00502
N00033668	Myers, Lois Dickson	R	TX36	H2TX36050
N00002327	Myrick, Sue	R	NC09	H4NC09106
N00000939	Nadler, Jerrold	D	NY10	H2NY17071
N00033806	Nafarrete, Brian	R	GA12	H2GA12139
N00006789	Napolitano, Grace	D	CA32	H8CA34068
N00034608	Napolitano, Joseph D	R	CA08	H2CA08206
N00033667	Narvaiz, Susan	R	TX35	H2TX35029
N00033213	Nascenzi, Bob	D	CA52	H2CA50133
N00000153	Neal, Richard E	D	MA01	H8MA02041
N00033125	Neidner, James	R	TX36	H2TX36019
N00033970	Neighbors, Rick	D	AL04	H2AL04063
N00005329	Nelson, Ben	D	NES1	S6NE00095
N00009926	Nelson, Bill	D	FLS1	S8FL00166
N00030375	Nelson, Goodspaceguy	3	WA07	H8WA07181
N00031912	Nelson, Tara	D	IN04	H2IN04135
N00028358	Nelson, Torin	3	UT04	H6UT03125
N00026043	Neugebauer, Randy	R	TX19	H4TX19102
N00029721	Neuhardt, Sharen	D	OH10	H8OH07099
N00004356	Neumann, Mark W	R	WIS1	S8WI00158
N00007066	Nevenic, Anna	D	CA41	H2CA06184
N00033204	Newberry, George	R	CA36	H2CA36322
N00031496	Newman, Teri	R	IL12	H0IL12084
N00034343	Newton, Matt	D	NC12	H2NC12195
N00033756	Newton, Rick	R	NM03	H2NM03132
N00034660	Nguyen, Phat	R	CA19	H2CA19120
N00034395	Nieves, Miguel A	3	FL09	H2FL09111
N00033760	Nixon, Dorollo Jr	R	NY27	H2NY26163
N00033959	Noble, Sandra Queen	L	OH01	H2OH01152
N00032022	Noem, Kristi	R	SD01	H0SD00054
N00034519	Nolan, Anne	D	MN06	H2MN06172
N00033446	Nolan, Rick	D	MN08	H2MN08111
N00033052	Nolte, Gerald	R	MO05	H2MO06186
N00030614	Noren, Scott	D	NYS1	S0NY00402
N00033875	Norris, Phil	R	AL07	H2AL07165
N00001692	Norton, Eleanor Holmes	D	DC00	H0DC00058
N00034314	Novak, Curt	3	CA42	H2CA42155
N00030734	Novak, Daria	R	CT02	H0CT02140
N00034617	Novinec, Albin	I	CA49	H2CA49234
N00030969	Nuciforo, Andrea F Jr	D	MA01	H2MA01194
N00032441	Nugent, Richard	R	FL11	H0FL05139
N00007248	Nunes, Devin Gerald	R	CA22	H8CA20059
N00034782	Nunnally, Lincoln	D	GA04	H2GA04177
N00031006	Nunnelee, Alan	R	MS01	H0MS01043
N00033048	Nyren, Gerald Paul	L	FL05	H2FL03122
N00034754	O'Brien, Mike	D	MI06	H2MI06075
N00033247	O'Connor, Daniel	D	NY07	H2NY12130
N00033895	O'Donnell, Tony	R	MD05	H2MD05478
N00003338	O'Hara, Shawn Richard	3	MSS2	S4MS00062
N00033816	O'Neil, Allen James	D	MI09	H2MI09129
N00033540	O'Rourke, Beto	D	TX16	H2TX16185
N00034188	Oakes, Matthew	D	CTS1	S2CT00207
N00034506	Oates, Rob	L	ID01	H2ID01135
N00034200	Oatis, Will	D	MSS2	S2MS00082
N00034389	Obagi, Zein	D	CA33	H2CA33121
N00009638	Obama, Barack	D	PRES	P80003338
N00034629	Obermueller, Mike	D	MN02	H2MN02122
N00033595	Obsitnik, Steve	R	CT04	H2CT04068
N00033404	Oceguera, John	D	NV03	H2NV00035
N00034011	Oelrich, Steve	R	FL03	H2FL06117
N00030835	Oerther, Brian	R	KY04	H2KY04105
N00033536	Old, Jay	R	TX14	H2TX14115
N00032033	Oliverio, Mike	D	WV01	H0WV01106
N00033733	Olivier, Clint	R	CA16	H2CA20102
N00034853	Olson, Eli	R	WA02	H2WA02193
N00034742	Olson, Eric	L	ND01	H2ND00149
N00034116	Olson, John	D	OK01	H2OK01150
N00029285	Olson, Pete	R	TX22	H8TX22107
N00000143	Olver, John W	D	MA01	H2MA01020
N00033743	Opitz, Michael	R	GA11	H2GA11172
N00030378	Orlinski, John	R	WA09	H8WA08098
N00033594	Orner, David Scott	R	CT04	H2CT04050
N00034310	Orswell, Jack	R	CA27	H2CA27198
N00034051	Orton, Howard	R	MD02	H2MD02269
N00033598	Otero, Evelio	R	FL14	H2FL11091
N00034702	Overall, Park	D	TNS1	S2TN00264
N00034086	Owen, Mike	R	NC12	H2NC12187
N00031011	Owens, Bill	D	NY21	H0NY23081
N00034015	Owens, Brian	R	FL19	H2FL14178
N00033861	Owens, Jonathan Durand	R	CAS2	S2CA00658
N00030314	Owens, Thomas	D	TNS1	S2TN00280
N00034605	Oxley, Gary	I	CA01	H2CA01151
N00033601	Oxner, Mark Anthony	R	FL09	H2FL15076
N00033279	Pace, Sal	D	CO03	H2CO03138
N00034678	Packard, Steve	R	CT03	H2CT03086
N00034951	Paige, H Brooke	R	VTS1	S2VT00144
N00031958	Palazzo, Steven	R	MS04	H0MS04120
N00034765	Pallen, Greg	R	GA04	H2GA04151
N00000781	Pallone, Frank Jr	D	NJ06	H8NJ03073
N00033526	Palombo, Frank	R	NC03	H2NC03079
N00033388	Palomo, Andrew G	R	IL08	H2IL08104
N00034873	Pamelia, Joe	L	AZ04	H2AZ04176
N00034076	Pannell, John Luke	3	MS03	H2MS03128
N00031757	Pantano, Ilario Gregory	R	NC07	H0NC07108
N00034669	Pape, Tim	D	CA33	H2CA33170
N00032763	Pareja, Christopher James	3	CA15	H0CA13119
N00031113	Parker, Bob	R	MO08	H0MO08244
N00031630	Parker, Dennis L	R	NE01	H0NE03191
N00034388	Parker, Eric	R	CA23	H2CA23130
N00031586	Parker, Vernon	R	AZ09	H0AZ03321
N00033993	Parks, Linda	R	CA26	H2CA26091
N00033990	Parks, William	D	CA18	H2CA18122
N00033626	Parry, Mike	R	MN01	H2MN01132
N00034564	Partain, Johnny	D	TX15	H2TX15088
N00000751	Pascrell, Bill Jr	D	NJ09	H6NJ08118
N00009479	Pason, Gregory	3	NJS1	S0NJ00100
N00034875	Passalacqua, Tony	R	AZ08	H2AZ08144
N00006397	Pastor, Ed	D	AZ07	H2AZ02055
N00031514	Patterson, Vance	R	NC11	H0NC10169
N00030836	Paul, Rand	R	KYS2	S0KY00156
N00005906	Paul, Ron	R	PRES	P80000748
N00005906	Paul, Ron	R	PRES	P80000748
N00033569	Paules, Gregory	D	WIS1	S2WI00201
N00029391	Paulsen, Erik	R	MN03	H8MN03077
N00034436	Pavilack, Harold	D	SC07	H2SC07140
N00033130	Pawlenty, Tim	R	PRES	P20002556
N00000716	Payne, Donald M	D	NJ10	H0NJ10026
N00034639	Payne, Donald M Jr	D	NJ10	H2NJ10154
N00034341	Peacock, Edwin III	R	NC09	H2NC09118
N00012672	Pearce, Steve	R	NM02	H2NM02126
N00012672	Pearce, Steve	R	NM02	H2NM02126
N00029960	Pearne, George	R	CA41	H8CA45122
N00033515	Peixoto, Jose F	3	FL27	H2FL18054
N00033478	Pelaez, Manuel	D	TX23	H2TX23108
N00034412	Peller, Bruce	D	NC05	H2NC05140
N00033807	Peloquin, Donald	R	IL01	H2IL01166
N00007360	Pelosi, Nancy	D	CA12	H8CA05035
N00003765	Pence, Mike	R	IN06	H8IN02060
N00034339	Pendergraph, Jim	R	NC09	H2NC09092
N00033465	Pendleton, Cathy Johnson	D	MD05	H2MD05460
N00034348	Perez, Benjamin	I	TX15	H2TX15070
N00033126	Perkins, Christopher S	R	VA11	H2VA11149
